Bill No,Vendor ID,Vendor Name,Vendor Ref,Bill Date,Due Date,Currency,Amount,Balance Due,Status
B-20542,V-1015,Deschutes Brewing Supply Co-op,DBS-69895,06/23/2026,07/23/2026,USD,"5,873.84","5,873.84",Open
B-20543,V-1239,Newberg Nut Growers,NNG-32240,04/10/2026,05/10/2026,USD,"6,730.38",0.00,Paid
B-20544,V-1290,Columbia Gorge Orchards,CGO-75679,02/06/2026,03/08/2026,USD,"14,225.98",0.00,Paid
B-20545,V-1242,Teton Valley Trout,TVT-23386,05/19/2026,06/18/2026,USD,"7,097.78",0.00,Paid
B-20546,V-1281,Boardman Tree Fruit,BTF-48435,04/17/2026,05/17/2026,USD,"11,420.85",0.00,Paid
B-20547,V-1119,Cowlitz Creek Farms,CCF-61189,02/20/2026,03/07/2026,USD,"15,736.76",0.00,Paid
B-20548,V-1080,Mt. Hood Berry Farm,MHB-48416,01/08/2026,02/07/2026,USD,"7,181.93",0.00,Paid
B-20549,V-1235,Bitterroot Bakehouse Supply,BBS-56727,03/30/2026,04/29/2026,USD,"5,438.51",0.00,Paid
B-20550,V-1227,Blue Mountain Carriers,BMC-59517,02/02/2026,03/04/2026,USD,"2,743.69",0.00,Paid
B-20551,V-1077,Puget Sound Shellfish Co.,PSS-18807,02/18/2026,03/20/2026,USD,"4,253.13",0.00,Paid
B-20552,V-1031,Tualatin Hazelnut Co.,THC-26142,02/09/2026,03/11/2026,USD,"8,687.07",0.00,Paid
B-20553,V-1213,Pinnacle Payroll Services,PPS-65055,03/03/2026,04/02/2026,USD,325.49,0.00,Paid
B-20554,V-1284,Hood Canal Oyster Co.,HCO-69186,01/26/2026,02/25/2026,USD,"11,669.97",0.00,Paid
B-20555,V-1220,Treasure Valley Trucking,TVT-66069,04/22/2026,05/22/2026,USD,"2,619.49",0.00,Paid
B-20556,V-1209,Sound Cartage Co.,SCC-77102,03/17/2026,04/16/2026,USD,"2,834.08",0.00,Paid
B-20557,V-1235,Bitterroot Bakehouse Supply,BBS-56594,01/23/2026,02/22/2026,USD,"14,132.93",0.00,Paid
B-20558,V-1018,Keystone Scale & Calibration,KSC-62426,03/09/2026,04/08/2026,USD,869.81,0.00,Paid
B-20559,V-1204,Northwest Reefer Transport,NRT-66334,02/02/2026,03/04/2026,USD,"1,699.23",0.00,Paid
B-20560,V-1074,Scappoose Organic Farms,SOF-70851,01/06/2026,02/05/2026,USD,"13,562.57",0.00,Paid
B-20561,V-1120,Columbia River Freightways,CRF-77756,01/16/2026,02/15/2026,USD,884.09,0.00,Paid
B-20562,V-1279,Willamette Valley Creamery,WVC-19303,04/06/2026,05/06/2026,USD,"6,401.08",0.00,Paid
B-20563,V-1077,Puget Sound Shellfish Co.,PSS-19007,06/18/2026,07/18/2026,USD,"5,230.09","5,230.09",Open
B-20564,V-1011,Klamath Basin Potato Co.,KBP-11793,05/25/2026,06/24/2026,USD,"3,878.96",0.00,Paid
B-20565,V-1058,Ridgeline Express,RE-17393,01/14/2026,02/13/2026,USD,"1,557.30",0.00,Paid
B-20566,V-1015,Deschutes Brewing Supply Co-op,DBS-69747,03/17/2026,04/16/2026,USD,"13,264.43",0.00,Paid
B-20567,V-1263,Summit Refrigeration Services,SRS-17974,02/23/2026,03/25/2026,USD,"3,288.99",0.00,Paid
B-20568,V-1288,Wallowa Grass-Fed Beef,WGB-72189,06/11/2026,07/11/2026,USD,"4,824.05","4,824.05",Open
B-20569,V-1011,Klamath Basin Potato Co.,KBP-11686,04/16/2026,05/16/2026,USD,"5,460.05",0.00,Paid
B-20570,V-1237,McKenzie River Mills,MRM-67358,02/09/2026,03/11/2026,USD,"8,320.34",0.00,Paid
B-20571,V-1281,Boardman Tree Fruit,BTF-48576,12/10/2025,01/09/2026,USD,"12,754.27",0.00,Paid
B-20573,V-1151,Walla Walla Onion Growers,WWO-22971,01/26/2026,02/25/2026,USD,"13,921.38",0.00,Paid
B-20574,V-1233,Lummi Bay Seafood,LBS-35255,02/09/2026,03/11/2026,USD,"10,333.07",0.00,Paid
B-20577,V-1151,Walla Walla Onion Growers,WWO-22982,02/02/2026,03/04/2026,USD,"12,878.90",0.00,Paid
B-20578,V-1155,Pacific Fleet Fuel,PFF-25874,01/29/2026,02/28/2026,USD,"3,584.63",0.00,Paid
B-20579,V-1166,Crown Linen & Uniform,CLU-45544,01/19/2026,02/18/2026,USD,532.00,0.00,Paid
B-20581,V-1147,Oregon Coast Seafood Traders,OCS-58951,03/03/2026,04/02/2026,USD,"14,989.96",0.00,Paid
B-20582,V-1251,Payette Valley Beef,PVB-56701,03/12/2026,04/11/2026,USD,"7,861.22",0.00,Paid
B-20583,V-1270,Santiam Canning Co.,SCC-51696,02/09/2026,02/24/2026,USD,"5,046.20",0.00,Paid
B-20584,V-1120,Columbia River Freightways,CRF-77799,02/02/2026,03/04/2026,USD,896.28,0.00,Paid
B-20585,V-1161,Salem Pallet Recyclers,SPR-14279,05/18/2026,06/17/2026,USD,495.56,0.00,Paid
B-20586,V-1058,Ridgeline Express,RE-17700,06/15/2026,07/15/2026,USD,"2,202.60","2,202.60",Open
B-20587,V-1270,Santiam Canning Co.,SCC-51925,05/15/2026,05/30/2026,USD,"14,537.59",0.00,Paid
B-20588,V-1173,Nisqually Salmon Co.,NSC-72096,06/08/2026,07/08/2026,USD,"4,804.89","4,804.89",Open
B-20589,V-1206,Pend Oreille Wild Rice,POW-23661,01/06/2026,02/05/2026,USD,"9,340.26",0.00,Paid
B-20590,V-1216,Chinook Smokehouse Co.,CSC-57128,04/27/2026,05/27/2026,USD,"5,828.57",0.00,Paid
B-20591,V-1266,Silvies River Lamb,SRL-64490,04/27/2026,05/27/2026,USD,"7,082.30",0.00,Paid
B-20592,V-1239,Newberg Nut Growers,NNG-32027,02/09/2026,03/11/2026,USD,"10,185.59",0.00,Paid
B-20593,V-1120,Columbia River Freightways,CRF-77836,02/10/2026,03/12/2026,USD,"3,537.68",0.00,Paid
B-20594,V-1136,Hells Canyon Honey,HCH-37220,01/21/2026,02/20/2026,USD,"3,824.60",0.00,Paid
B-20595,V-1251,Payette Valley Beef,PVB-56797,04/17/2026,05/17/2026,USD,"9,653.33",0.00,Paid
B-20596,V-1216,Chinook Smokehouse Co.,CSC-57223,06/24/2026,07/24/2026,USD,"10,331.51","10,331.51",Open
B-20597,V-1281,Boardman Tree Fruit,BTF-48385,03/23/2026,04/22/2026,USD,"7,322.99",0.00,Paid
B-20598,V-1197,Northgate IT Partners,NIP-72361,02/27/2026,03/29/2026,USD,"2,218.72",0.00,Paid
B-20599,V-1173,Nisqually Salmon Co.,NSC-71830,03/10/2026,04/09/2026,USD,"14,693.60",0.00,Paid
B-20600,V-1284,Hood Canal Oyster Co.,HCO-69481,12/15/2025,01/14/2026,USD,"6,073.06",0.00,Paid
B-20601,V-1223,Malheur Onion Co.,MOC-17123,02/11/2026,03/13/2026,USD,"11,545.79",0.00,Paid
B-20602,V-1200,Yamhill Charcuterie,YC-21178,03/30/2026,04/29/2026,USD,"6,970.61",0.00,Paid
B-20603,V-1205,Methow Valley Apples,MVA-59357,05/18/2026,06/02/2026,USD,"4,226.91",0.00,Paid
B-20604,V-1216,Chinook Smokehouse Co.,CSC-56950,01/02/2026,02/01/2026,USD,"11,425.77",0.00,Paid
B-20605,V-1291,Palouse Lentil Growers,PLG-19537,02/23/2026,03/10/2026,USD,"12,300.99",0.00,Paid
B-20606,V-1294,Umpqua Oat Mill,UOM-15772,01/14/2026,02/13/2026,USD,"11,613.49",0.00,Paid
B-20607,V-1236,Kittitas Hay & Grain,KHG-25781,05/25/2026,06/09/2026,USD,"10,975.92",0.00,Paid
B-20608,V-1051,Stumptown Office Supply,SOS-11998,04/10/2026,05/10/2026,USD,330.21,0.00,Paid
B-20610,V-1200,Yamhill Charcuterie,YC-21026,01/26/2026,02/25/2026,USD,"4,524.02",0.00,Paid
B-20611,V-1128,Yakima Hop & Herb,YHH-36339,04/27/2026,05/27/2026,USD,"11,857.92",0.00,Paid
B-20612,V-1280,Grande Ronde Poultry,GRP-20567,06/15/2026,06/30/2026,USD,"5,629.44",0.00,Paid
B-20614,V-1252,Snake River Trout Farms,SRT-48464,12/22/2025,01/21/2026,USD,"13,654.44",0.00,Paid
B-20615,V-1224,Siuslaw Cranberry Growers,SCG-27341,02/27/2026,03/29/2026,USD,"13,772.56",0.00,Paid
B-20616,V-1042,Pacific Coast Packaging LLC,PCP-23090,01/02/2026,02/01/2026,USD,"3,084.45",0.00,Paid
B-20617,V-1276,Critter Guard Pest Control,CGP-56430,04/14/2026,05/14/2026,USD,396.34,0.00,Paid
B-20618,V-1155,Pacific Fleet Fuel,PFF-25896,02/09/2026,03/11/2026,USD,"1,888.15",0.00,Paid
B-20619,V-1074,Scappoose Organic Farms,SOF-70904,01/23/2026,02/22/2026,USD,"13,430.54",0.00,Paid
B-20620,V-1236,Kittitas Hay & Grain,KHG-25427,01/08/2026,01/23/2026,USD,"7,628.58",0.00,Paid
B-20621,V-1213,Pinnacle Payroll Services,PPS-65090,04/06/2026,05/06/2026,USD,404.24,0.00,Paid
B-20622,V-1015,Deschutes Brewing Supply Co-op,DBS-69701,02/17/2026,03/19/2026,USD,"13,575.90",0.00,Paid
B-20623,V-1265,Coastline Shredding,CS-36302,04/24/2026,05/24/2026,USD,136.24,0.00,Paid
B-20624,V-1242,Teton Valley Trout,TVT-23265,04/08/2026,05/08/2026,USD,"7,960.34",0.00,Paid
B-20625,V-1205,Methow Valley Apples,MVA-59170,02/03/2026,02/18/2026,USD,"4,789.97",0.00,Paid
B-20626,V-1290,Columbia Gorge Orchards,CGO-75882,06/01/2026,07/01/2026,USD,"11,033.05",0.00,Paid
B-20627,V-1279,Willamette Valley Creamery,WVC-19234,03/09/2026,04/08/2026,USD,"5,468.05",0.00,Paid
B-20628,V-1224,Siuslaw Cranberry Growers,SCG-27536,05/27/2026,06/26/2026,USD,"7,876.22",0.00,Paid
B-20630,V-1031,Tualatin Hazelnut Co.,THC-26089,01/05/2026,02/04/2026,USD,"7,429.25",0.00,Paid
B-20631,V-1080,Mt. Hood Berry Farm,MHB-48527,03/24/2026,04/23/2026,USD,"10,617.43",0.00,Paid
B-20632,V-1237,McKenzie River Mills,MRM-67380,02/17/2026,03/19/2026,USD,"8,769.40",0.00,Paid
B-20633,V-1077,Puget Sound Shellfish Co.,PSS-18855,03/20/2026,04/19/2026,USD,"8,006.47",0.00,Paid
B-20634,V-1279,Willamette Valley Creamery,WVC-19300,04/03/2026,05/03/2026,USD,"8,078.51",0.00,Paid
B-20635,V-1284,Hood Canal Oyster Co.,HCO-69298,04/06/2026,05/06/2026,USD,"10,954.32",0.00,Paid
B-20636,V-1128,Yakima Hop & Herb,YHH-36141,01/05/2026,02/04/2026,USD,"11,556.30",0.00,Paid
B-20637,V-1227,Blue Mountain Carriers,BMC-59727,05/06/2026,06/05/2026,USD,"2,177.75",0.00,Paid
B-20638,V-1294,Umpqua Oat Mill,UOM-15974,05/01/2026,05/31/2026,USD,"11,645.56",0.00,Paid
B-20639,V-1291,Palouse Lentil Growers,PLG-19701,06/02/2026,06/17/2026,USD,"8,260.16",0.00,Paid
B-20640,V-1239,Newberg Nut Growers,NNG-31928,01/12/2026,02/11/2026,USD,"3,815.87",0.00,Paid
B-20641,V-1251,Payette Valley Beef,PVB-56938,06/16/2026,07/16/2026,USD,"9,556.73","9,556.73",Open
B-20642,V-1261,Columbia Basin Water District,CBW-29327,02/10/2026,03/02/2026,USD,592.12,0.00,Paid
B-20643,V-1155,Pacific Fleet Fuel,PFF-26264,05/28/2026,06/27/2026,USD,"2,079.69",0.00,Paid
B-20644,V-1142,Umatilla Specialty Produce,USP-32417,06/17/2026,07/17/2026,USD,"5,102.79","5,102.79",Open
B-20645,V-1263,Summit Refrigeration Services,SRS-18032,05/21/2026,06/20/2026,USD,"7,744.55",0.00,Paid
B-20646,V-1274,Olympic Peninsula Mushrooms,OPM-33962,12/08/2025,12/23/2025,USD,"6,814.52",0.00,Paid
B-20647,V-1151,Walla Walla Onion Growers,WWO-23363,06/15/2026,07/15/2026,USD,"12,650.61","12,650.61",Open
B-20648,V-1042,Pacific Coast Packaging LLC,PCP-23095,01/12/2026,02/11/2026,USD,"7,620.55",0.00,Paid
B-20649,V-1180,Beaverton Forklift Leasing,BFL-51893,05/27/2026,06/26/2026,USD,"2,313.60",0.00,Paid
B-20650,V-1242,Teton Valley Trout,TVT-23132,02/17/2026,03/19/2026,USD,"15,651.48",0.00,Paid
B-20651,V-1042,Pacific Coast Packaging LLC,PCP-23236,03/04/2026,04/03/2026,USD,"8,098.56",0.00,Paid
B-20652,V-1058,Ridgeline Express,RE-17428,02/09/2026,03/11/2026,USD,"1,388.36",0.00,Paid
B-20653,V-1015,Deschutes Brewing Supply Co-op,DBS-69869,06/15/2026,07/15/2026,USD,"7,653.90","7,653.90",Open
B-20655,V-1167,Lombard Street Properties LLC,RENT-2026-02,02/01/2026,02/01/2026,USD,"8,500.00",0.00,Paid
B-20656,V-1291,Palouse Lentil Growers,PLG-19516,02/10/2026,02/25/2026,USD,"13,493.21",0.00,Paid
B-20657,V-1151,Walla Walla Onion Growers,WWO-22933,01/05/2026,02/04/2026,USD,"5,897.00",0.00,Paid
B-20658,V-1239,Newberg Nut Growers,NNG-32308,05/04/2026,06/03/2026,USD,"7,966.20",0.00,Paid
B-20659,V-1252,Snake River Trout Farms,SRT-48301,04/20/2026,05/20/2026,USD,"8,537.41",0.00,Paid
B-20660,V-1270,Santiam Canning Co.,SCC-51824,03/30/2026,04/14/2026,USD,"12,073.67",0.00,Paid
B-20661,V-1233,Lummi Bay Seafood,LBS-35203,01/05/2026,02/04/2026,USD,"8,765.25",0.00,Paid
B-20662,V-1290,Columbia Gorge Orchards,CGO-75696,02/12/2026,03/14/2026,USD,"15,646.39",0.00,Paid
B-20663,V-1291,Palouse Lentil Growers,PLG-19558,03/09/2026,03/24/2026,USD,"9,581.83",0.00,Paid
B-20664,V-1236,Kittitas Hay & Grain,KHG-25751,05/11/2026,05/26/2026,USD,"13,143.23",0.00,Paid
B-20665,V-1290,Columbia Gorge Orchards,CGO-75900,06/12/2026,07/12/2026,USD,"9,949.07","9,949.07",Open
B-20666,V-1142,Umatilla Specialty Produce,USP-32378,06/08/2026,07/08/2026,USD,"11,942.08","11,942.08",Open
B-20667,V-1031,Tualatin Hazelnut Co.,THC-26351,06/01/2026,07/01/2026,USD,"4,485.06",0.00,Paid
B-20668,V-1197,Northgate IT Partners,NIP-72401,04/20/2026,05/20/2026,USD,"2,512.48",0.00,Paid
B-20669,V-1280,Grande Ronde Poultry,GRP-20421,04/06/2026,04/21/2026,USD,"9,991.62",0.00,Paid
B-20670,V-1072,Gowen Field Commerce Park,RENT-2026-01,01/01/2026,01/01/2026,USD,"4,875.00",0.00,Paid
B-20671,V-1237,McKenzie River Mills,MRM-67660,06/23/2026,07/23/2026,USD,"12,739.94","12,739.94",Open
B-20673,V-1173,Nisqually Salmon Co.,NSC-71888,03/23/2026,04/22/2026,USD,"15,192.20",0.00,Paid
B-20674,V-1155,Pacific Fleet Fuel,PFF-26331,06/26/2026,07/26/2026,USD,"3,515.42","3,515.42",Open
B-20675,V-1151,Walla Walla Onion Growers,WWO-23250,05/11/2026,06/10/2026,USD,"4,673.76",0.00,Paid
B-20676,V-1224,Siuslaw Cranberry Growers,SCG-27438,04/03/2026,05/03/2026,USD,"11,757.61",0.00,Paid
B-20677,V-1284,Hood Canal Oyster Co.,HCO-69157,01/08/2026,02/07/2026,USD,"11,842.08",0.00,Paid
B-20678,V-1290,Columbia Gorge Orchards,CGO-75603,01/19/2026,02/18/2026,USD,"6,537.94",0.00,Paid
B-20679,V-1261,Columbia Basin Water District,CBW-29396,05/08/2026,05/28/2026,USD,506.02,0.00,Paid
B-20680,V-1166,Crown Linen & Uniform,CLU-45650,04/14/2026,05/14/2026,USD,382.17,0.00,Paid
B-20682,V-1155,Pacific Fleet Fuel,PFF-25974,03/06/2026,04/05/2026,USD,"2,896.59",0.00,Paid
B-20683,V-1042,Pacific Coast Packaging LLC,PCP-23244,03/16/2026,04/15/2026,USD,"3,583.91",0.00,Paid
B-20684,V-1058,Ridgeline Express,RE-17404,01/26/2026,02/25/2026,USD,453.66,0.00,Paid
B-20685,V-1045,Talent Bridge Staffing,TBS-63755,06/05/2026,07/05/2026,USD,"4,989.02","4,989.02",Open
B-20686,V-1058,Ridgeline Express,RE-17513,03/26/2026,04/25/2026,USD,"1,091.82",0.00,Paid
B-20688,V-1216,Chinook Smokehouse Co.,CSC-57022,03/02/2026,04/01/2026,USD,"13,635.20",0.00,Paid
B-20689,V-1279,Willamette Valley Creamery,WVC-19113,01/19/2026,02/18/2026,USD,"6,268.62",0.00,Paid
B-20690,V-1055,Wenatchee Pear Packers,WPP-34543,04/13/2026,05/13/2026,USD,"12,139.04",0.00,Paid
B-20692,V-1127,Nooksack Berry Growers,NBG-54193,01/15/2026,01/30/2026,USD,"11,912.13",0.00,Paid
B-20693,V-1274,Olympic Peninsula Mushrooms,OPM-33865,05/18/2026,06/02/2026,USD,"10,672.22",0.00,Paid
B-20694,V-1294,Umpqua Oat Mill,UOM-15873,03/16/2026,04/15/2026,USD,"13,991.96",0.00,Paid
B-20695,V-1252,Snake River Trout Farms,SRT-48213,03/23/2026,04/22/2026,USD,"13,098.59",0.00,Paid
B-20698,V-1042,Pacific Coast Packaging LLC,PCP-23367,04/21/2026,05/21/2026,USD,"2,465.12",0.00,Paid
B-20699,V-1209,Sound Cartage Co.,SCC-77008,02/13/2026,03/15/2026,USD,"2,320.13",0.00,Paid
B-20700,V-1223,Malheur Onion Co.,MOC-17320,06/04/2026,07/04/2026,USD,"10,772.30","10,772.30",Open
B-20701,V-1220,Treasure Valley Trucking,TVT-66265,12/15/2025,01/14/2026,USD,"1,969.34",0.00,Paid
B-20702,V-1236,Kittitas Hay & Grain,KHG-25479,01/21/2026,02/05/2026,USD,"11,894.04",0.00,Paid
B-20703,V-1213,Pinnacle Payroll Services,PPS-65137,06/18/2026,07/18/2026,USD,369.20,369.20,Open
B-20704,V-1020,Cascade Coldchain Logistics,CCL-22879,06/19/2026,07/19/2026,USD,"4,983.72","4,983.72",Open
B-20706,V-1128,Yakima Hop & Herb,YHH-36224,02/23/2026,03/25/2026,USD,"9,248.22",0.00,Paid
B-20707,V-1058,Ridgeline Express,RE-17536,04/06/2026,05/06/2026,USD,516.15,0.00,Paid
B-20708,V-1276,Critter Guard Pest Control,CGP-56462,05/08/2026,06/07/2026,USD,353.44,0.00,Paid
B-20711,V-1251,Payette Valley Beef,PVB-56970,06/24/2026,07/24/2026,USD,"10,383.94","10,383.94",Open
B-20712,V-1284,Hood Canal Oyster Co.,HCO-69168,01/14/2026,02/13/2026,USD,"10,879.76",0.00,Paid
B-20713,V-1119,Cowlitz Creek Farms,CCF-61069,01/02/2026,01/17/2026,USD,"13,965.35",0.00,Paid
B-20714,V-1294,Umpqua Oat Mill,UOM-15848,03/09/2026,04/08/2026,USD,"6,721.48",0.00,Paid
B-20715,V-1120,Columbia River Freightways,CRF-78023,05/04/2026,06/03/2026,USD,"3,667.44",0.00,Paid
B-20716,V-1031,Tualatin Hazelnut Co.,THC-26266,04/17/2026,05/17/2026,USD,"8,539.25",0.00,Paid
B-20718,V-1058,Ridgeline Express,RE-17364,01/05/2026,02/04/2026,USD,"2,229.66",0.00,Paid
B-20719,V-1011,Klamath Basin Potato Co.,KBP-11573,03/16/2026,04/15/2026,USD,"14,450.97",0.00,Paid
B-20720,V-1031,Tualatin Hazelnut Co.,THC-26289,05/01/2026,05/31/2026,USD,"5,580.57",0.00,Paid
B-20721,V-1252,Snake River Trout Farms,SRT-48099,01/26/2026,02/25/2026,USD,"15,551.57",0.00,Paid
B-20722,V-1020,Cascade Coldchain Logistics,CCL-22644,03/27/2026,04/26/2026,USD,"1,782.20",0.00,Paid
B-20723,V-1277,Metro Waste Haulers,MWH-42802,05/20/2026,06/19/2026,USD,674.53,0.00,Paid
B-20724,V-1074,Scappoose Organic Farms,SOF-70961,02/16/2026,03/18/2026,USD,"14,116.38",0.00,Paid
B-20725,V-1224,Siuslaw Cranberry Growers,SCG-27488,05/08/2026,06/07/2026,USD,"6,348.26",0.00,Paid
B-20726,V-1294,Umpqua Oat Mill,UOM-15756,01/01/2026,01/31/2026,USD,"9,615.02",0.00,Paid
B-20727,V-1200,Yamhill Charcuterie,YC-21171,03/19/2026,04/18/2026,USD,"7,828.67",0.00,Paid
B-20728,V-1289,Blue Heron Preserves,BHP-43613,03/09/2026,03/24/2026,USD,"5,029.48",0.00,Paid
B-20729,V-1173,Nisqually Salmon Co.,NSC-71742,02/06/2026,03/08/2026,USD,"4,748.21",0.00,Paid
B-20731,V-1127,Nooksack Berry Growers,NBG-54436,05/20/2026,06/04/2026,USD,"12,676.74",0.00,Paid
B-20732,V-1042,Pacific Coast Packaging LLC,PCP-23424,05/28/2026,06/27/2026,USD,"5,761.60",0.00,Paid
B-20733,V-1204,Northwest Reefer Transport,NRT-66374,02/09/2026,03/11/2026,USD,"3,825.33",0.00,Paid
B-20734,V-1023,Clearwater Creamery,CC-67931,02/09/2026,03/11/2026,USD,"14,796.86",0.00,Paid
B-20735,V-1226,Skagit Valley Grains,SVG-15659,05/12/2026,06/11/2026,USD,"10,186.40",0.00,Paid
B-20736,V-1270,Santiam Canning Co.,SCC-51771,03/09/2026,03/24/2026,USD,"11,116.46",0.00,Paid
B-20737,V-1080,Mt. Hood Berry Farm,MHB-48736,05/29/2026,06/28/2026,USD,"12,129.35",0.00,Paid
B-20738,V-1226,Skagit Valley Grains,SVG-15508,03/09/2026,04/08/2026,USD,"13,871.06",0.00,Paid
B-20739,V-1236,Kittitas Hay & Grain,KHG-25854,12/18/2025,01/02/2026,USD,"4,869.48",0.00,Paid
B-20740,V-1031,Tualatin Hazelnut Co.,THC-26222,03/12/2026,04/11/2026,USD,"6,846.75",0.00,Paid
B-20742,V-1074,Scappoose Organic Farms,SOF-71161,05/18/2026,06/17/2026,USD,"15,662.83",0.00,Paid
B-20743,V-1080,Mt. Hood Berry Farm,MHB-48471,02/16/2026,03/18/2026,USD,"7,917.70",0.00,Paid
B-20747,V-1281,Boardman Tree Fruit,BTF-48481,06/05/2026,07/05/2026,USD,"6,809.89","6,809.89",Open
B-20750,V-1031,Tualatin Hazelnut Co.,THC-26317,05/25/2026,06/24/2026,USD,"9,276.98",0.00,Paid
B-20751,V-1198,Emerald City Cold Storage,ECC-76127,03/18/2026,04/17/2026,USD,"2,819.10",0.00,Paid
B-20752,V-1120,Columbia River Freightways,CRF-77840,02/16/2026,03/18/2026,USD,"2,609.07",0.00,Paid
B-20753,V-1127,Nooksack Berry Growers,NBG-54389,04/21/2026,05/06/2026,USD,"4,827.18",0.00,Paid
B-20754,V-1023,Clearwater Creamery,CC-68065,04/08/2026,05/08/2026,USD,"8,006.58",0.00,Paid
B-20755,V-1277,Metro Waste Haulers,MWH-42760,03/11/2026,04/10/2026,USD,512.53,0.00,Paid
B-20756,V-1078,Rogue Valley Cheese Works,RVC-37534,12/29/2025,01/28/2026,USD,"3,844.97",0.00,Paid
B-20757,V-1220,Treasure Valley Trucking,TVT-65740,01/19/2026,02/18/2026,USD,"3,178.28",0.00,Paid
B-20759,V-1284,Hood Canal Oyster Co.,HCO-69440,06/15/2026,07/15/2026,USD,"11,581.51","11,581.51",Open
B-20760,V-1023,Clearwater Creamery,CC-68225,06/15/2026,07/15/2026,USD,"8,887.10","8,887.10",Open
B-20761,V-1294,Umpqua Oat Mill,UOM-15941,04/27/2026,05/27/2026,USD,"15,399.43",0.00,Paid
B-20762,V-1142,Umatilla Specialty Produce,USP-32149,03/05/2026,04/04/2026,USD,"8,570.95",0.00,Paid
B-20763,V-1220,Treasure Valley Trucking,TVT-66177,05/26/2026,06/25/2026,USD,"3,299.45",0.00,Paid
B-20764,V-1276,Critter Guard Pest Control,CGP-56397,03/02/2026,04/01/2026,USD,398.77,0.00,Paid
B-20766,V-1281,Boardman Tree Fruit,BTF-48421,04/06/2026,05/06/2026,USD,"9,644.63",0.00,Paid
B-20767,V-1055,Wenatchee Pear Packers,WPP-34493,03/09/2026,04/08/2026,USD,"14,461.49",0.00,Paid
B-20768,V-1294,Umpqua Oat Mill,UOM-15828,02/23/2026,03/25/2026,USD,"7,932.99",0.00,Paid
B-20769,V-1242,Teton Valley Trout,TVT-23425,05/25/2026,06/24/2026,USD,"8,901.67",0.00,Paid
B-20771,V-1074,Scappoose Organic Farms,SOF-71118,05/01/2026,05/31/2026,USD,"12,199.55",0.00,Paid
B-20772,V-1204,Northwest Reefer Transport,NRT-66498,04/02/2026,05/02/2026,USD,"3,832.36",0.00,Paid
B-20776,V-1270,Santiam Canning Co.,SCC-51942,05/29/2026,06/13/2026,USD,"14,481.42",0.00,Paid
B-20777,V-1251,Payette Valley Beef,PVB-56689,03/05/2026,04/04/2026,USD,"6,635.77",0.00,Paid
B-20779,V-1289,Blue Heron Preserves,BHP-43817,06/08/2026,06/23/2026,USD,"3,910.79",0.00,Paid
B-20780,V-1015,Deschutes Brewing Supply Co-op,DBS-69848,05/29/2026,06/28/2026,USD,"6,966.26",0.00,Paid
B-20781,V-1242,Teton Valley Trout,TVT-23124,02/09/2026,03/11/2026,USD,"10,596.12",0.00,Paid
B-20782,V-1227,Blue Mountain Carriers,BMC-59619,03/10/2026,04/09/2026,USD,"3,195.03",0.00,Paid
B-20783,V-1251,Payette Valley Beef,PVB-56855,05/07/2026,06/06/2026,USD,"8,829.27",0.00,Paid
B-20788,V-1023,Clearwater Creamery,CC-67922,02/05/2026,03/07/2026,USD,"9,464.67",0.00,Paid
B-20789,V-1266,Silvies River Lamb,SRL-64286,02/06/2026,03/08/2026,USD,"13,521.15",0.00,Paid
B-20790,V-1206,Pend Oreille Wild Rice,POW-24054,06/11/2026,07/11/2026,USD,"7,246.26","7,246.26",Open
B-20791,V-1147,Oregon Coast Seafood Traders,OCS-58992,03/25/2026,04/24/2026,USD,"7,407.40",0.00,Paid
B-20792,V-1223,Malheur Onion Co.,MOC-17071,01/16/2026,02/15/2026,USD,"6,920.91",0.00,Paid
B-20794,V-1236,Kittitas Hay & Grain,KHG-25823,06/26/2026,07/11/2026,USD,"7,157.07","7,157.07",Open
B-20795,V-1270,Santiam Canning Co.,SCC-51665,01/19/2026,02/03/2026,USD,"9,545.78",0.00,Paid
B-20796,V-1280,Grande Ronde Poultry,GRP-20504,05/21/2026,06/05/2026,USD,"10,935.64",0.00,Paid
B-20798,V-1193,Chehalis Valley Eggs,CVE-60907,01/27/2026,02/26/2026,USD,"12,850.59",0.00,Paid
B-20799,V-1042,Pacific Coast Packaging LLC,PCP-23256,03/26/2026,04/25/2026,USD,"2,972.95",0.00,Paid
B-20800,V-1142,Umatilla Specialty Produce,USP-32057,02/06/2026,03/08/2026,USD,"9,781.76",0.00,Paid
B-20801,V-1255,Coquille Dairy Cooperative,CDC-45096,01/16/2026,02/15/2026,USD,"4,503.89",0.00,Paid
B-20802,V-1255,Coquille Dairy Cooperative,CDC-45190,03/23/2026,04/22/2026,USD,"6,655.01",0.00,Paid
B-20803,V-1080,Mt. Hood Berry Farm,MHB-48442,01/12/2026,02/11/2026,USD,"10,524.30",0.00,Paid
B-20804,V-1227,Blue Mountain Carriers,BMC-59551,02/10/2026,03/12/2026,USD,"1,443.43",0.00,Paid
B-20805,V-1058,Ridgeline Express,RE-17590,04/28/2026,05/28/2026,USD,"2,540.10",0.00,Paid
B-20806,V-1224,Siuslaw Cranberry Growers,SCG-27524,05/25/2026,06/24/2026,USD,"11,089.87",0.00,Paid
B-20809,V-1292,Hermiston Melon Farms,HMF-63879,04/17/2026,05/02/2026,USD,"4,217.90",0.00,Paid
